age,app_guide_consent_to_email_and_sms,app_month,app_year,completion_time_mins,county_name,household_size,documents_count,earned_income_entry_method,email_consent,income_in_last_30_days,interview_preference,job_income,member_over59,member_under18,member_under5,member_under6,members_language,non_job_income,rent_or_mortgage,sms_consent,source,stable_housing,status
37,FALSE,September,2017,8485.497254,San Diego,3,2,,FALSE,1305,Telephone,,FALSE,TRUE,FALSE,FALSE,English,,2050,TRUE,g2,TRUE,approved
44,FALSE,September,2017,11.3594905,San Diego,4,0,,TRUE,1600,Telephone,,FALSE,TRUE,FALSE,FALSE,English,,1420,FALSE,fb2,TRUE,denied
28,FALSE,September,2017,3.117540602,San Diego,1,0,,FALSE,1100,Telephone,,FALSE,FALSE,FALSE,FALSE,English,,0,TRUE,sandiegoweb,FALSE,denied
81,FALSE,September,2017,19.77240823,San Diego,1,0,,TRUE,915,Telephone,,TRUE,FALSE,FALSE,FALSE,English,,528,FALSE,bing,TRUE,denied
54,FALSE,September,2017,25.53401402,San Diego,2,0,,TRUE,2700,Telephone,,TRUE,FALSE,FALSE,FALSE,English,,1281,FALSE,sandiegoweb,TRUE,other
36,FALSE,September,2017,4.378861849,San Diego,1,0,,TRUE,500,Telephone,,FALSE,FALSE,FALSE,FALSE,English,,200,FALSE,google,TRUE,approved
37,FALSE,September,2017,10.13628318,San Diego,6,0,,TRUE,5600,Telephone,,FALSE,TRUE,TRUE,TRUE,English,,1600,FALSE,fb3,TRUE,denied
65,FALSE,September,2017,10.29304687,San Diego,1,0,,FALSE,1900,Telephone,,TRUE,FALSE,FALSE,FALSE,English,,1500,TRUE,google,TRUE,denied
54,TRUE,September,2017,29.8567454,San Diego,1,0,,TRUE,205,Telephone,,TRUE,FALSE,FALSE,FALSE,English,,90,TRUE,sandiegoweb,FALSE,approved
25,FALSE,September,2017,10.26297222,San Diego,1,4,,FALSE,1980,Telephone,,FALSE,FALSE,FALSE,FALSE,English,,405,TRUE,sandiegoweb,TRUE,approved
31,TRUE,September,2017,11.8806434,San Diego,4,0,,TRUE,1600,Telephone,,FALSE,TRUE,FALSE,FALSE,English,,200,TRUE,fb2,TRUE,approved
25,FALSE,September,2017,94.37344952,San Diego,1,0,,TRUE,1000,Telephone,,FALSE,FALSE,FALSE,FALSE,English,,750,FALSE,google,TRUE,denied
36,FALSE,September,2017,11.29749325,San Francisco,3,0,,TRUE,0,Telephone,,FALSE,TRUE,TRUE,TRUE,English,,126,FALSE,g2,TRUE,denied
31,TRUE,September,2017,16.98642687,San Diego,6,0,,TRUE,5000,Telephone,,FALSE,TRUE,TRUE,TRUE,English,,968,TRUE,,TRUE,denied
22,FALSE,September,2017,19.42343932,San Diego,1,0,,TRUE,600,In-person,,FALSE,FALSE,FALSE,FALSE,English,,1040,FALSE,g2,FALSE,approved
57,FALSE,September,2017,10.53656356,San Diego,1,0,,FALSE,2500,Telephone,,FALSE,FALSE,FALSE,FALSE,English,,1350,TRUE,,TRUE,approved
39,FALSE,September,2017,13.73830213,San Francisco,3,0,,FALSE,2000,Telephone,,FALSE,TRUE,TRUE,TRUE,English,,800,TRUE,,TRUE,denied
